# P(k)  H0=0.71 Om0=0.267804 Ob0=0.0444356 Ol0=0.73 Sigma8=1 n_s=1
# k  P_E+H_wOsc(k)  P_E+H_noOsc(k)  P_this_simul(k) 
       0.458       347.169       342.187       347.169
       0.459       345.521       340.547       345.521
        0.46       343.884       338.918       343.884
       0.461       342.257         337.3       342.257
       0.462       340.641       335.693       340.641
       0.463       339.035       334.097       339.035
       0.464        337.44       332.511        337.44
       0.465       335.854       330.936       335.854
       0.466       334.279       329.372       334.279
       0.467       332.714       327.818       332.714
       0.468       331.159       326.274       331.159
       0.469       329.614        324.74       329.614
        0.47       328.079       323.217       328.079
       0.471       326.554       321.703       326.554
       0.472       325.039         320.2       325.039
       0.473       323.535       318.706       323.535
       0.474       322.039       317.222       322.039
       0.475       320.554       315.748       320.554
       0.476       319.079       314.284       319.079
       0.477       317.613       312.829       317.613
       0.478       316.157       311.383       316.157
       0.479       314.711       309.947       314.711
        0.48       313.274       308.521       313.274
       0.481       311.847       307.103       311.847
       0.482       310.429       305.695       310.429
       0.483       309.021       304.295       309.021
       0.484       307.622       302.905       307.622
       0.485       306.232       301.524       306.232
       0.486       304.851       300.151       304.851
       0.487       303.479       298.787       303.479
       0.488       302.116       297.432       302.116
       0.489       300.762       296.086       300.762
        0.49       299.416       294.748       299.416
       0.491       298.079       293.419       298.079
       0.492        296.75       292.098        296.75
       0.493        295.43       290.785        295.43
       0.494       294.117       289.481       294.117
       0.495       292.813       288.185       292.813
       0.496       291.517       286.897       291.517
       0.497       290.229       285.617       290.229
       0.498       288.949       284.346       288.949
       0.499       287.676       283.082       287.676
         0.5       286.411       281.826       286.411
       0.501       285.154       280.578       285.154
       0.502       283.904       279.337       283.904
       0.503       282.662       278.105       282.662
       0.504       281.427        276.88       281.427
       0.505       280.199       275.662       280.199
       0.506       278.979       274.452       278.979
       0.507       277.766        273.25       277.766
       0.508       276.561       272.055       276.561
       0.509       275.363       270.867       275.363
        0.51       274.171       269.687       274.171
       0.511       272.987       268.514       272.987
       0.512       271.811       267.348       271.811
       0.513       270.641       266.189       270.641
       0.514       269.478       265.037       269.478
       0.515       268.323       263.892       268.323
       0.516       267.174       262.754       267.174
       0.517       266.033       261.623       266.033
       0.518       264.898       260.499       264.898
       0.519       263.771       259.382       263.771
        0.52        262.65       258.271        262.65
       0.521       261.536       257.167       261.536
       0.522       260.429        256.07       260.429
       0.523       259.329       254.979       259.329
       0.524       258.235       253.895       258.235
       0.525       257.148       252.817       257.148
       0.526       256.068       251.746       256.068
       0.527       254.994       250.681       254.994
       0.528       253.926       249.622       253.926
       0.529       252.865        248.57       252.865
        0.53       251.811       247.523       251.811
       0.531       250.762       246.484       250.762
       0.532        249.72        245.45        249.72
       0.533       248.684       244.422       248.684
       0.534       247.654         243.4       247.654
       0.535       246.629       242.385       246.629
       0.536       245.611       241.375       245.611
       0.537       244.599       240.371       244.599
       0.538       243.592       239.373       243.592
       0.539       242.591       238.381       242.591
        0.54       241.596       237.395       241.596
       0.541       240.606       236.414       240.606
       0.542       239.622       235.439       239.622
       0.543       238.643        234.47       238.643
       0.544        237.67       233.506        237.67
       0.545       236.702       232.548       236.702
       0.546        235.74       231.595        235.74
       0.547       234.783       230.648       234.783
       0.548       233.832       229.706       233.832
       0.549       232.886        228.77       232.886
        0.55       231.945       227.839       231.945
       0.551       231.009       226.914       231.009
       0.552       230.079       225.993       230.079
       0.553       229.153       225.078       229.153
       0.554       228.234       224.168       228.234
       0.555       227.319       223.264       227.319
       0.556       226.409       222.364       226.409
       0.557       225.505       221.469       225.505
       0.558       224.605        220.58       224.605
       0.559       223.711       219.695       223.711
        0.56       222.822       218.816       222.822
       0.561       221.938       217.941       221.938
       0.562       221.059       217.072       221.059
       0.563       220.185       216.207       220.185
       0.564       219.316       215.347       219.316
       0.565       218.452       214.492       218.452
       0.566       217.593       213.642       217.593
       0.567       216.738       212.796       216.738
       0.568       215.889       211.955       215.889
       0.569       215.044       211.119       215.044
        0.57       214.204       210.287       214.204
       0.571       213.368        209.46       213.368
       0.572       212.537       208.638       212.537
       0.573       211.711        207.82       211.711
       0.574       210.889       207.006       210.889
       0.575       210.072       206.197       210.072
       0.576       209.259       205.393       209.259
       0.577        208.45       204.593        208.45
       0.578       207.646       203.797       207.646
       0.579       206.846       203.006       206.846
        0.58       206.051       202.218       206.051
       0.581       205.259       201.436       205.259
       0.582       204.472       200.657       204.472
       0.583       203.689       199.883       203.689
       0.584        202.91       199.113        202.91
       0.585       202.135       198.347       202.135
       0.586       201.365       197.585       201.365
       0.587       200.598       196.827       200.598
       0.588       199.835       196.073       199.835
       0.589       199.077       195.324       199.077
        0.59       198.322       194.578       198.322
       0.591       197.571       193.837       197.571
       0.592       196.824       193.099       196.824
       0.593       196.081       192.365       196.081
       0.594       195.342       191.635       195.342
       0.595       194.607        190.91       194.607
       0.596       193.876       190.187       193.876
       0.597       193.149       189.469       193.149
       0.598       192.425       188.755       192.425
       0.599       191.706       188.044       191.706
         0.6        190.99       187.337        190.99
       0.601       190.278       186.634       190.278
       0.602        189.57       185.935        189.57
       0.603       188.865       185.239       188.865
       0.604       188.165       184.547       188.165
       0.605       187.468       183.858       187.468
       0.606       186.774       183.174       186.774
       0.607       186.085       182.492       186.085
       0.608       185.399       181.815       185.399
       0.609       184.716        181.14       184.716
        0.61       184.038        180.47       184.038
       0.611       183.362       179.802       183.362
       0.612       182.691       179.139       182.691
       0.613       182.022       178.478       182.022
       0.614       181.358       177.821       181.358
       0.615       180.696       177.168       180.696
       0.616       180.038       176.518       180.038
       0.617       179.383       175.871       179.383
       0.618       178.732       175.227       178.732
       0.619       178.084       174.587       178.084
        0.62       177.439        173.95       177.439
       0.621       176.798       173.317       176.798
       0.622       176.159       172.686       176.159
       0.623       175.524       172.059       175.524
       0.624       174.892       171.435       174.892
       0.625       174.263       170.814       174.263
       0.626       173.637       170.197       173.637
       0.627       173.015       169.582       173.015
       0.628       172.395       168.971       172.395
       0.629       171.779       168.362       171.779
        0.63       171.165       167.757       171.165
       0.631       170.555       167.155       170.555
       0.632       169.947       166.556       169.947
       0.633       169.343       165.959       169.343
       0.634       168.741       165.366       168.741
       0.635       168.143       164.776       168.143
       0.636       167.547       164.189       167.547
       0.637       166.954       163.605       166.954
       0.638       166.365       163.023       166.365
       0.639       165.778       162.445       165.778
        0.64       165.194       161.869       165.194
       0.641       164.614       161.296       164.614
       0.642       164.036       160.726       164.036
       0.643       163.461       160.159       163.461
       0.644       162.888       159.595       162.888
       0.645       162.319       159.033       162.319
       0.646       161.753       158.475       161.753
       0.647       161.189       157.919       161.189
       0.648       160.628       157.365       160.628
       0.649        160.07       156.815        160.07
        0.65       159.515       156.267       159.515
       0.651       158.962       155.722       158.962
       0.652       158.412       155.179       158.412
       0.653       157.865        154.64       157.865
       0.654        157.32       154.102        157.32
       0.655       156.779       153.568       156.779
       0.656       156.239       153.036       156.239
       0.657       155.703       152.506       155.703
       0.658       155.169        151.98       155.169
       0.659       154.637       151.455       154.637
        0.66       154.108       150.934       154.108
       0.661       153.582       150.414       153.582
       0.662       153.058       149.898       153.058
       0.663       152.536       149.383       152.536
       0.664       152.017       148.872       152.017
       0.665       151.501       148.362       151.501
       0.666       150.986       147.855       150.986
       0.667       150.475       147.351       150.475
       0.668       149.965       146.849       149.965
       0.669       149.458       146.349       149.458
        0.67       148.953       145.852       148.953
       0.671       148.451       145.357       148.451
       0.672       147.951       144.865       147.951
